DesignRole;LOC;CC;Efferent;NOP;
UNDEFINED;86;19;15;4;
BACKGROUNDPROCESS;221;17;18;1;
ENTITY;38;5;8;13;
GERENCIADORAGENDA;38;5;8;9;
PERSISTENCE;38;5;8;1;
EXCEPTION;38;5;8;1;
TRANSACAORELATORIO;170;23;23;1;
TRANSACAOMANTAB;38;5;8;1;
TRANSACAO;106;20;17;1;
ABAS;38;5;8;1;
