DesignRole;LOC;CC;Efferent;NOP;
ENTITY;8;1;2;0;
CONTROLLER;28;4;8;0;
PERSISTENCE;41;4;7;3;
UNDEFINED;100;19;10;3;
SERVICE;39;7;12;4;
