Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.IncluirReceita;montarComboReceitaPai;26;5;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.ConfirmarAlteracaoValorParametro;process;37;4;4;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;obterDetalheIsencao;11;3;7;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;gravarCabecalho;25;4;10;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;verificaExisteContaSequencialBanc;20;4;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.alteracao.ConfirmarAlteracaoCheque;process;40;5;10;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.TransacaoConsultaBase;montarComboSubGrupo;38;5;2;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.IncluirFormaRecolhimentoICMS;process;32;3;11;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDocumento.IncluirTipoDocumento;process;21;3;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.certidaoIPVA.EmitirCertidaoNegativa;process;60;8;19;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;gerarSequenciaDAEManual;55;9;8;4;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;obterDadosChequeDev;28;5;12;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemReceitaOutroOrgao;69;28;8;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAEMensal;getOcorrenciasNavegacao;25;5;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropriedadesItemDaeICMSNaoInscInt;102;16;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.CadastrarVencimentoICMS;montaDocumento;37;6;3;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarDetalheHistoricoDAE_OLD;getOcorrenciasNavegacao;15;2;8;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarComboGrupoMotivo;61;16;11;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;ABAS;br.gov.se.sefaz.sae.consultas.to.documento.AbaBase;preencheDocCabecalhoSAEPeriodo;26;6;3;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;alterarDataArrecadacaoGNRE;17;3;8;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.data.DatasSAE;periodoValido;3;1;2;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.IPVA.DAOIPVASQLBean;getEntidadeDescontoModeloCollection;16;4;6;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;gravaHistoricoDAE;3;1;3;10;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeImpExpContribuinteNaoInscrito;51;9;6;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.documentosSolicitacao.IncluirDocumentosSolicitacao;process;16;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;gravarHistoricoRepasseFinanceiroSql;20;2;8;6;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;verificarExistenciaAutoIE;10;2;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.ipva.ListarLogIPVA;initialize;259;74;10;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;getEntidadeReceita;18;3;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivoPeloNome;process;28;7;13;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;validarSequenciaTalao;38;15;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarDadosDAEDuplicado;53;18;14;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.baixa.BaixarChequeDev;setCamposDocumento;47;10;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;validarIdentificacaoContribuinte;36;10;6;1;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.listar.ListarIsencoesAlteracao;process;34;11;12;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;validarSituacaoDocumento;31;16;13;3;Metodo Longo;(1) Discordo Fortemente;;
 A, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.IncluirItemICMS;process;35;17;13;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;calcularRepasseCedidoTesouro;19;1;5;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderSolicitacaoSubmetidaInicio;doInitialize;27;9;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.inclusao.itemDae.ConsultarIncluirDAE;process;45;6;10;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarHistoricoDAE;30;9;12;11;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;registrarRecolhimentoDocumento;54;12;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;gravarArquivoExcel;56;8;14;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderSolicitacaoSubmetidaInicio;doInitialize;27;9;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;registrarReferenciaCheque;27;7;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDaeEspecialContribuinte;initialize;57;19;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ListarDAEReemissao;getOcorrenciasNavegacao;28;4;11;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.listar.ReemitirAutorizacaoICMS;initialize;39;4;6;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;PERSISTENCE;br.gov.se.sefaz.sae.dao.isencaoTributos.DAOIsencaoTributosSQLBean;baixaIsencao;9;1;5;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.isencaoTributos.to.consulta.ConsultaAvancadaIsencaoTributos;montaFiltroArgumentoIsencao;22;9;6;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConfirmarRepasseFinanceiro;setItensDocumento;33;2;9;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.cheqDev.ConsultarCheqDev;montaQuery;31;4;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.inclusao.itemDae.ListarItensDAE;registrarItemDAE;58;10;13;2;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarComboCNAE;5;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;montarComboFormaRecolhimentoICMSInscrito;17;2;11;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.IdentificacaoDoc;setaDadosDocIdent;64;25;6;4;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterDARDAE;18;2;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNREOnLine;validar;99;16;21;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasse;gravarArquivoRepasseDAE;382;67;17;5;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;obterVencimentoNormalICMS;145;25;13;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.correcao.CorrigirDadosGNRE;verificaAlteracaoCampos;8;6;5;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.IncluirItemICMS;process;41;10;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.VencimentoIcmsBase;montarComboSubGrupo;38;5;2;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.produtoSAE.ExcluirProdutoSAE;process;27;4;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ng.GerenciadorMantab;executarMantabUtil;19;4;10;5;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receitaObjetoTipo.AlterarReceitaObjetoTipo;process;16;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;getOcorrenciasNavegacaoTabela1;19;2;8;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.AlterarReceita;process;46;5;14;0;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.CadastrarVencimentoICMS;filtraCNAEF;32;5;12;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.GerenciadorArquivos;mover;27;6;9;6;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.AlterarItemDAE;process;83;28;14;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;obterAnoTalao;8;2;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.cancelamento.dae.ConsultarDAECancelamento;process;90;27;16;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;cancelarDAEITCMD;35;9;12;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;montarComboFormaRecolhimentoICMSInscrito;17;2;11;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;gravarCabecalho;25;4;10;5;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.Contribuinte;setDadosPF;19;6;5;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoChequeDev.ExcluirMotivoChequeDev;process;18;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.CadastrarVencimentoICMS;validarMesAnoReferencia;8;5;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarComboGrupoMotivo;61;16;11;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ti.SAEIntegracaoITCMD;reemissaoDAEITCMD;3;1;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;verificarAlteracaoDadosConciliacao;125;76;7;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.receberTalao.obterTaloesRecebimento;process;26;6;11;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarRenovacaoIsencaoIPVAInicio;process;40;17;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarSubstituirDAEMensal;3;1;3;4;Muitos Parametros;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.ListarItensDesmembramentoDAE;registrarDesemembramentoItemDAE;222;80;15;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.alterar.AlterarTalaoDAEManual;process;50;6;19;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;validarNSA;12;4;4;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;initialize;23;10;6;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.cheqDev.to.alteracao.AlterarChequeDevolvido;process;53;14;10;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaFiltroDocumento;96;24;7;1;Metodo Longo;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoARecolher;setItensDocumento;58;11;13;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recDataFechamentoMensal;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultReceitaOutrosOrgaos;46;10;12;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.dae.ConfirmarDesmembrarDAE;process;49;15;15;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;getDedDetalheDAE;33;4;6;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.ExcluirFormaRecolhimentoICMS;initialize;35;5;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;validarReceitaContribNaoInscrito;85;8;4;2;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaNaoTributaria;process;74;16;13;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.ListarItemsDAE;process;21;3;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.ConsultarItemDAE;setaDadosAlteracaoIcms;23;9;8;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ConfirmarAtividadeEconomica;process;38;3;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeICMSContribuiteInscritoEspecial;193;33;11;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.reemissao.AlterarAntecipacaoMensal;setDetalheDAE;17;3;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarPendenciasDoc;getOcorrenciasNavegacao;20;3;9;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.inclusao.itemDae.ListarItensDAE;registrarItemDAE;58;10;13;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemImportacao;process;35;10;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarDAEEspecial;initialize;50;8;5;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.AlterarDASDesmembramento;process;43;20;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dadosConcBanc.ConsultarDadosConciliacaoBancaria;process;55;13;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoAlteracaoDoc.IncluirMotivoAlteracaoDoc;process;25;2;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.formaRecolhimento.ListarItensFormaRecolhimento;alterarFormaRecolhimento;36;7;10;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.VencimentoIcmsBase;validarMesAnoReferencia;10;7;5;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.viaEletronicaDAEManual.contribuinteInscrito.IncluirItemICMS;process;28;6;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;validarPessoa;20;9;5;1;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarDAEEspecial;process;127;27;16;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;getDadosDocumento;17;3;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.MontarCabecalhoEmissaoDAE;process;44;8;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;validarDadosIncluirGNRE;45;14;9;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterDtEmissaoDAE;19;4;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheImportacaoExportacaoToSource;41;15;8;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarDetalheHistoricoDAE_OLD;getCampoOrdenacao;6;4;1;1;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.ConsultarFormaRecolhimentoICMS;preencherDocFormaRecolhimentoICMS;11;2;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteInscrito.ExcluirItemDAE;process;38;6;11;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;obterEncargosSAP;18;2;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;obterTalaoRepasse;7;1;5;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAOOPERACIONAL;br.gov.se.sefaz.sae.consultas.to.relatorio.SolicitarRelatorio;process;30;9;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.GerarArqRepasseBB;beforeRunTransLess;22;6;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;ocultarCamposDAE;56;1;1;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDocOrigem.AlterarTipoDocOrigem;process;20;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.listar.ConsultarDocumentos;montarDocDocumentosSolicitacao;19;4;8;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;processarArquivo;58;8;19;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;validarSituacaoDocumento;31;16;13;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.IncluirTipoDesconto;process;25;4;10;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;registrarHistoricoCustodialFormaRecolhimento;19;4;9;6;Metodo Longo;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recObjetoReferencia;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosEnviadosBanco;process;56;13;12;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.ListarReceita;process;35;9;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;validarDadosGNREDesmembramento;51;24;16;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.ipva.ConsultarPrevisaoArrecIPVA;process;82;18;12;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.IncluirItemDocDesmembram;process;35;10;13;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dae.AlterarDAE;process;96;28;23;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;valoresModoExibicao;26;6;5;3;Muitos Parametros;(1) Discordo Fortemente;;
