Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.chequeDevolvido.GerarItemReguralizacaoChequeDevolvido;process;88;14;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ti.SAEIntegracaoSAF;obterValorArrecadado;3;1;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultICMS;42;12;10;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultImpExpContribuiteNaoInscrito;28;4;7;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;montarComboAgenciaAtiva;31;8;9;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CODIGOBARRASBASE;br.gov.se.sefaz.sae.ne.CodigoBarrasGNRE;getReceitaGNRE;19;3;2;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;getDataVencimento;18;4;7;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;getHistoricoCheque;23;3;8;1;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dadosConcBanc.ConfirmarRetiradaDadosConciliacaoBancaria;verificarSeAlterouSituacaoDoc;15;3;9;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;validarDadosDAE;43;26;12;2;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarAtvdEconCateg;setCNAE;20;4;8;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;inserirDetalheDAESql;77;13;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;autenticacoesPreenchidas;4;5;2;2;Muitos Desvios;(1) Discordo Fortemente;;
 A, V ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.Registro2;validar;55;18;1;0;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAEInscrito;100;54;10;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.receita.AlterarReceita;process;46;5;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultICMS;42;12;10;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;montarComboMotivoReceita;20;4;9;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.psdi.CalcularPSDI;process;32;3;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarTipoDOCOrigem;6;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoProduto.AlterarGrupoProduto;process;20;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheDAEFundoPobrezaToSource;50;15;7;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;validarReferenciaAntecipacao;45;18;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeNotificacao;4;1;3;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemPSDI;process;31;5;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.itd.ConsultarContribuinte;process;103;37;17;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GNRE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;verificarExistenciaGNRE;62;15;9;5;Metodo Longo;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ne.PendenciaArquivo;PendenciaArquivo;5;1;4;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;validar;198;58;22;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEEspecialContribuinte;process;135;28;17;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;registrarAlteracaoTalao;6;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.repassarTalao.ListarTalaoRepasse;process;26;10;5;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;getEntidadeDocumentoBase;18;2;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
