Classe                              ;DesignRole                        ;Concorda?;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumentoSituacao.IncluirTipoDocumentoSituacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoContribuinteCateg.ExcluirTipoContribuinteCateg;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.ExcluirFormaRecolhimentoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receita.IncluirReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDAEManual.ConsultarSituacaoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.combSituacaoChequeDev.ExcluirCombSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.AlterarVencimentoIcms;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoReceita.GrupoReceitaBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.objetoReferencia.ConsultarObjetoReferencia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.solicitanteSolic.ConsultarSolicitanteSolic;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.IncluirVencimentoIcms;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoTalao.ConsultarMotivoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeApuracao.ExcluirPeriodicidadeApuracao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDAEManual.IncluirSituacaoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.TipoDescontoBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.empresasCourrier.IncluirEmpresasCourrier;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.prorrogacaoDae.ExcluirProrrogacaoDae;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.AlterarConversaoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoChequeDev.IncluirSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoTalao.AlterarSituacaoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoReceita.ExcluirMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoSituacaoCampo.ExcluirMotivoSituacaoCampo;UNDEFINED;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDoc.IncluirSituacaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoChequeDev.ExcluirMotivoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.solicitanteSolic.IncluirSolicitanteSolic;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.combSituacaoChequeDev.IncluirCombSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.entidade.ListarEntidade;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.valorOrcadoReceita.AlterarValorOrcadoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.IncluirFormaRecolhimentoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.campoDoc.AlterarCampoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoSituacaoCampo.IncluirMotivoSituacaoCampo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.ConsultarFormaRecolhimentoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.contaRepasse.ListarContaRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoDAEManual.ExcluirMotivoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.unidadeTalao.ExcluirUnidadeTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.objetoReferencia.IncluirObjetoReferencia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentCalculoReceita.ExcluirPercentCalculoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoReceita.IncluirGrupoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoAlteracaoDoc.IncluirMotivoAlteracaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeApuracao.IncluirPeriodicidadeApuracao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoProduto.ConsultarGrupoProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.entidade.ExcluirEntidadeMensagem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribInsc.AlterarIcmsContribInsc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.VencimentoIcmsBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoTalao.ExcluirMotivoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.solicitanteSolic.ExcluirSolicitanteSolic;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocOrigem.IncluirTipoDocOrigem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoSolicitante.ConsultarTipoSolicitante;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoSituacaoCampo.MotivoSituacaoCampoBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocOrigem.AlterarTipoDocOrigem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumentoSituacao.AlterarTipoDocumentoSituacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.objetoReferencia.ExcluirObjetoReferencia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.entidade.ExcluirEntidade;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.empresasCourrier.AlterarEmpresasCourrier;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoReceita.IncluirMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjetoTipo.IncluirReceitaObjetoTipo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoReceita.ConsultarMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeReceita.PeriodicidadeReceitaBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDoc.ConsultarSituacaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoSolicitante.IncluirTipoSolicitante;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoChequeDev.ConsultarMotivoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoChequeDev.ConsultarSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentRepasseReceita.AlterarPercentRepasseReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoOperacao.ConsultarTipoOperacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenioProduto.ExcluirConvenioProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenioProduto.IncluirConvenioProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.produtoSAE.IncluirProdutoSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoOperacao.ExcluirTipoOperacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoSolicitante.AlterarTipoSolicitante;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.pessoaNaoInscrita.ValidarPessoaNaoInscrita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receita.ListarReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.valorOrcadoReceita.IncluirValorOrcadoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.campoDoc.ConsultarCampoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribNaoInsc.ExcluirICMSContribNaoInsc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.produtoSAE.AlterarProdutoSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeReceita.ExcluirPeriodicidadeReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.ExcluirGrupoMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoTalao.AlterarMotivoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoTalao.IncluirSituacaoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.pessoaNaoInscrita.ListarPessoaNaoInscritaGNRE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.empresasCourrier.ExcluirEmpresasCourrier;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoChequeDev.IncluirMotivoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoProduto.ListarGrupoProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receita.ExcluirReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumento.AlterarTipoDocumento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumentoSituacao.ExcluirTipoDocumentoSituacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeApuracao.ConsultarPeriodicidadeApuracao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentCalculoReceita.PercentCalculoReceitaBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenio.IncluirConvenio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.objetoReferencia.AlterarObjetoReferencia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjeto.ReceitaObjetoBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.documentosSolicitacao.ExcluirDocumentosSolicitacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjeto.ExcluirReceitaObjeto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.prorrogacaoDae.ConsultarProrrogacaoDae;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoTalao.IncluirMotivoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentCalculoReceita.IncluirPercentCalculoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjeto.IncluirReceitaObjeto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receitaObjetoTipo.ReceitaObjetoTipoBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoRecolhimento.ExcluirGRecolhimentoMensagem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentCalculoReceita.AlterarPercentCalculoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenio.ExcluirConvenio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.histDataFechamentoMensal.ListarHistDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.dao.IPVA.DAOIPVASQLBean;PERSISTENCE;SIM;
br.gov.se.sefaz.sae.dao.isencaoTributos.DAOIsencaoTributosSQLBean;PERSISTENCE;SIM;
br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;PERSISTENCE;SIM;
br.gov.se.sefaz.sae.dao.docarrecadacao.DAODocArrecadacaoSQLBean;PERSISTENCE;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemIMPEXPContribInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.psdi.CalcularPSDI;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaOutrosOrgaosConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemReceitaOutrosOrgaos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaExtraOrcamentaria;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDaeEspecialContribuinte;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.viaEletronicaDAEManual.ConsultarContribuinteDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.chequeDevolvido.ConsultarContribuinteRegCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemImportacaoConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemMultaFiscal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDAEEspecialContribuinteNaoInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAEsSIT;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.ExcluirItem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAEMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaNaoTributariaConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaOutrosOrgaos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.InserirItemAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemPSDI;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.AlterarItem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteNaoInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.MontarCabecalhoEmissaoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemICMSConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.chequeDevolvido.GerarItemReguralizacaoChequeDevolvido;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.reemissao.ReemitirAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.viaEletronicaDAEManual.contribuinteNaoInscrito.IncluirItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.ListarItensAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.ExcluirItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaExtraOrc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ConsultarDAEReemissao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteInscrito.AlterarItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.MontarCabecalhoEmissaoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteInscrito.EmitirDAEContribuinteInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.ExcluirItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteInscrito.AlterarItem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemReceitaOutrosOrgaosConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAESIT;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.AlterarItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.itd.GerarItemITD;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaOutrosOrgaos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemitirDAEInternet;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.AlterarItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemMultaFiscal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEContribuinteNaoInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemTaxaConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.ExibirMenuEmissaoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.ConsultarContribuinteDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarDAEEspecial;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemMultaFiscalConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemMultaFiscal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.FormatarImpressaoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemImportacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.viaEletronicaDAEManual.contribuinteInscrito.IncluirItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.ExluirItemAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.EmitirDAEInternet;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.ExcluirItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.itd.ConsultarContribuinte;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.MontarCabecalhoEmissaoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEAvulso;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.SubstituirAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaNaoTributaria;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemMultaFiscalConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.IncluirItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemTaxa;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.itcmd.ConsultarContribuinteITCMD;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.reemissao.AlterarAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteInscrito.EmitirDAEContribuinteInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteInscrito.IncluirItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.EmitirDAEContribuinteNaoInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.sit.AlterarDAEMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.ExibirDAEAvulso;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemPSDI;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.AlterarItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteInscrito.ExcluirItemDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaNaoTributaria;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.ExibirDAEAvulso;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.IncluirItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.GerarReemissaoDAESIT;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.reemissao.PreencherDAEPopUp;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemTaxa;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemIcmsContribuinteNaoInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.outrosOrgaos.GerarDAEOutrosOrgaos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemReceitaExtraOrcConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemPSDIConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteInscrito.IncluirItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.ImprimirDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.itcmd.GerarITCMD;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.GerarItemDAEITCMD;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemitirDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.EmitirDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEEspecialContribuinte;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.AlterarItemAntecipacaoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemitirDAEITCMD;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemissaoDAESIT;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.GerarItemIcmsContribuinteNaoInscritoConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEAvulsoSAP;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemIMPEXPContribNaoInscrito;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteInscrito.ExcluirItem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ListarDAEReemissao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemICMSContribuinteNaoInscritoConfirmar;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAutorizadaFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderSolicitacaoEmAnaliseFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.certidaoIPVA.ConsultarCertidaoRegularidadeIPVA;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoEmAnaliseInicio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderSolicitacaoSubmetidaInicio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarRenovacaoIsencaoIPVAFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IncluirPermissaoModelo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.abas.ConjuntoAbasIsencaoTributos;ABAS;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAguardRegularizacaoFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.certidaoIPVA.EmitirCertidaoNegativa;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.TransacaoIsencaoTributosBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAguardFiscalizacaoFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIPVAFinalBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.listar.ConsultarDocumentos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.baixa.BaixaIsencao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoEmAnaliseFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAguardFiscalizacaoInicio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderRenovacaoSubmetidaFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicio_Intranet;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.ICMS.AtenderSolicitacaoAguardVeiculoFinal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicioBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.alterar.AlterarIsencaoVeiculo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.isencaoTributos.to.InserirTpSolicitanteIsencaoPorData;TRANSACAO;SIM;
