Classe                              ;DesignRole                        ;Concorda?;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ExcluirDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepassePorBancoArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ExibirDetalheRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ListarHistoricoRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarDocsAlteradosRepassados;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ListarDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.ListarParametrosSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivoPeloNome;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.GerarNumeroGNRE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConfirmaRepasseFinanceiro;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosNaoEnviadosPeloBanco;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepassePorBancoRepasse;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consultaArquivo.ConsultarArquivosEnviadosBanco;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.ValidarMesAno;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.consulta.ConsultarArrecadacaoDia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.conciliacaoBancaria.to.fechamento.IncluirDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.ConsultarMovimentacaoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.TransacaoTeste;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;CONSULTAAVANCADATRANSBASE;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.ConjuntoAbasTalao;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.ipva.ListarLogIPVA;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ListarHistoricoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.DadosDocumento;ENTITY;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ListarDocumentoConcBanc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ListarDadosAgencia;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.relatorio.SolicitarRelatorio;TRANSACAOOPERACIONAL;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;CONSULTAAVANCADATRANSBASE;SIM;
br.gov.se.sefaz.sae.consultas.to.ipva.ConsultarLog;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ListarPendenciasBaixadas;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.contribuinte.ListarPeriodoDocumentosRecolhidos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ConfirmarAtividadeEconomica;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.ConsultaAvancadaTalonario;CONSULTAAVANCADATRANSBASE;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.IdentificacaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.DetalheDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.receita.ConsultarRegraRepasseReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.TransacaoConsultaBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ListarPendenciasDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.repasse.ConsultaRepasseFUNPREV;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.DownloadArquivo;ACTION;SIM;
br.gov.se.sefaz.sae.consultas.to.contribuinte.Contribuinte;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.abasTrans.ExibirDadosCabecalhoAbas;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoRecolhidos;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.receita.ConsultarReceitaDetalhada;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ListarPendenciasEmAberto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ListarAtvdEconCateg;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.ConsultarCheqDev;CONSULTAAVANCADATRANSBASE;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.ListarHistoricoCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.TransacaoConcBanc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.ListarDocumentoCheque;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.ConsultarDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ExibirDadosCabecalhoAbas;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ConjuntoAbas;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ListarDadosDetalhes;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.ConsultarDadosIdentificacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.ExibirDadosCabecalhoAbas;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ListarDetalheHistoricoDAE_OLD;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.abasTrans.ConjuntoAbas;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ListarHistoricoPendencias;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.outrosOrgaos.ConsultarPagamentosDAEs;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoARecolher;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.receita.ConsultarConversaoReceitaSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ConjuntoAbasSAE;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.download.EfetuarDownloadRelatorio;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ConjuntoAbasSaePeriodo;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.ConsultarHistoricoCustodiais;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.vencimento.ConsultarVencimentoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.ListarDetalheHistoricoDAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.ConsultarHistoricoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.documento.AbaBase;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.ConjuntoAbas;ABAS;SIM;
br.gov.se.sefaz.sae.consultas.to.cheqDev.TransacaoCheqDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.talonario.HistoricoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.ipva.ConsultarPrevisaoArrecIPVA;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.download.ObterRelatorioDAEMensalRecolhimento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;CONSULTAAVANCADATRANSBASE;SIM;
br.gov.se.sefaz.sae.consultas.to.ObterCodigoBarras;TRANSACAO;SIM;
br.gov.se.sefaz.sae.consultas.to.ConsultarDetalheDAE;TRANSACAOOPERACIONAL;SIM;
br.gov.se.sefaz.sae.consultas.to.receita.ConsultarConversaoReceitaHost;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.receita.ExcluirReceitaMensagem;TRANSACAO;SIM;
